,lat,lon,time,nuclide,_dl,_unit,value,_unc,species,body_part,bio_group,sample_id,contracting_party,id,is_replicate,replicated_group
47,51.4,3.9622222222222225,1412812800,cs137,2,5,0.2,,129,19,14,2014012229,Netherlands,79840,True,19
48,51.4,3.9622222222222225,1412812800,pb210,2,5,1.0,,129,19,14,2014012230,Netherlands,79845,True,20
49,51.4,3.9622222222222225,1412812800,pb210,2,5,1.0,,129,19,14,2014012231,Netherlands,79848,True,20
50,51.4,3.9622222222222225,1412812800,pb210,2,5,1.0,,129,19,14,2014012229,Netherlands,79842,True,20
51,51.4,3.9622222222222225,1412812800,pb210,2,5,1.0,,129,19,14,2014012228,Netherlands,79839,True,20
52,51.4,3.9622222222222225,1412812800,ra226,2,5,1.8,,129,19,14,2014012230,Netherlands,79844,True,21
53,51.4,3.9622222222222225,1412812800,ra226,2,5,1.8,,129,19,14,2014012229,Netherlands,79841,True,21
54,51.4,3.9622222222222225,1412812800,ra226,2,5,1.8,,129,19,14,2014012228,Netherlands,79838,True,21
55,51.4,3.9622222222222225,1412812800,ra226,2,5,1.8,,129,19,14,2014012231,Netherlands,79847,True,21
56,51.4,3.9622222222222225,1443657600,cs137,2,5,0.2,,129,19,14,2016002706,Netherlands,82445,True,22
57,51.4,3.9622222222222225,1443657600,cs137,2,5,0.2,,129,19,14,2016002707,Netherlands,82448,True,22
58,51.4,3.9622222222222225,1443657600,cs137,2,5,0.2,,129,19,14,2016002705,Netherlands,82442,True,22
59,51.4,3.9622222222222225,1443657600,cs137,2,5,0.2,,129,19,14,2016002708,Netherlands,82451,True,22
60,51.4,3.9622222222222225,1443657600,pb210,2,5,1.0,,129,19,14,2016002706,Netherlands,82447,True,23
61,51.4,3.9622222222222225,1443657600,pb210,2,5,1.0,,129,19,14,2016002707,Netherlands,82450,True,23
62,51.4,3.9622222222222225,1443657600,pb210,2,5,1.0,,129,19,14,2016002708,Netherlands,82453,True,23
63,51.4,3.9622222222222225,1443657600,pb210,2,5,1.0,,129,19,14,2016002705,Netherlands,82444,True,23
64,51.4,3.9622222222222225,1443657600,ra226,2,5,1.8,,129,19,14,2016002705,Netherlands,82443,True,24
65,51.4,3.9622222222222225,1443657600,ra226,2,5,1.8,,129,19,14,2016002708,Netherlands,82452,True,24
66,51.4,3.9622222222222225,1443657600,ra226,2,5,1.8,,129,19,14,2016002706,Netherlands,82446,True,24
67,51.4,3.9622222222222225,1443657600,ra226,2,5,1.8,,129,19,14,2016002707,Netherlands,82449,True,24
68,51.4,3.9622222222222225,1476662400,cs137,2,5,0.2,,129,19,14,2016009293,Netherlands,83441,True,25
69,51.4,3.9622222222222225,1476662400,cs137,2,5,0.2,,129,19,14,2016009294,Netherlands,83444,True,25
70,51.4,3.9622222222222225,1476662400,cs137,2,5,0.2,,129,19,14,2016009292,Netherlands,83438,True,25
71,51.4,3.9622222222222225,1476662400,cs137,2,5,0.2,,129,19,14,2016009291,Netherlands,83435,True,25
72,51.4,3.9622222222222225,1476662400,pb210,2,5,1.0,,129,19,14,2016009292,Netherlands,83440,True,26
73,51.4,3.9622222222222225,1476662400,pb210,2,5,1.0,,129,19,14,2016009294,Netherlands,83446,True,26
74,51.4,3.9622222222222225,1476662400,pb210,2,5,1.0,,129,19,14,2016009291,Netherlands,83437,True,26
75,51.4,3.9622222222222225,1476662400,pb210,2,5,1.0,,129,19,14,2016009293,Netherlands,83443,True,26
76,51.4,3.9622222222222225,1476662400,ra226,2,5,1.8,,129,19,14,2016009293,Netherlands,83442,True,27
77,51.4,3.9622222222222225,1476662400,ra226,2,5,1.8,,129,19,14,2016009291,Netherlands,83436,True,27
78,51.4,3.9622222222222225,1476662400,ra226,2,5,1.8,,129,19,14,2016009292,Netherlands,83439,True,27
79,51.4,3.9622222222222225,1476662400,ra226,2,5,1.8,,129,19,14,2016009294,Netherlands,83445,True,27
80,51.4,3.9622222222222225,1507161600,cs137,2,5,0.2,,129,19,14,2018011473,Netherlands,86019,True,28
