sample_id,area_id,areaname,samptype_id,samptype,ref_id,displaytext,zoterourl,ref_note,datbase,lab_id,lab,latitude,longitude,begperiod,endperiod,samplingyear,totdepth,sampdepth,station,samplabcode,species_id,taxonname,taxonrank,biogroup,taxondb,taxondbid,taxondburl,taxonrepname,bodypar_id,bodypar,sliceup,slicedown,sedtype_id,sedtype,sedrepname,nuclide_id,nusymbol,volume,salinity,temperatur,filtered,filtpore,samparea,drywt,wetwt,percentwt,sampmet_id,sampmet,prepmet_id,prepmet,drymet_id,drymet,counmet_id,counmet,decayedto,detection,activity,uncertaint,unit_id,unit,vartype,freq,rangelow,rangeupp,profile,transect_id,measure_note,shapetype_id,profile_id,sampnote,ref_fulltext,ref_yearpub,ref_sampleTypes,LongLat,displaycoordinates,DisplayLong,DisplayLat,id
323782,2389,English Channel,1,Seawater,191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018",https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK,,OSPAR RSC seawater,364,Institut de Radioprotection et de Sûreté Nucléaire : OPRI,48.6372222222222,-2.05361111111111,1995-10-01 00:00:00.000,,1995,,0.0,DINARD,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,10000.0,,1,Bq/m3,,,,,,,Updated: 2019-03-26T10:11:33.183. ,1,,Updated: 2019-03-26T10:11:33.183. OSPAR ID: 70331; ,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.",2018,"1,2","-2.054,48.637",0xE6100000010C6F8104C58F51484092E86514CB6D00C0,-2.05361111111111,48.6372222222222,604496
327840,2357,Irish Sea and St. George's Channel,1,Seawater,191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018",https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK,,OSPAR RSC seawater,333,Radiological Protection Institute of Ireland,53.8833333333333,-5.55,1999-08-01 00:00:00.000,,1999,,0.0,Irish Sea N5,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,15,99Tc,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,27.8,3.475,1,Bq/m3,,,,,,,Updated: 2019-03-26T10:11:35.737. Estimated uncertainty,1,,Updated: 2019-03-26T10:11:35.737. OSPAR ID: 50534; Representative sampling date,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.",2018,"1,2","-5.55,53.883",0xE6100000010C454772F90FF14A4033333333333316C0,-5.55,53.8833333333333,542768
325978,2350,North Sea,1,Seawater,191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018",https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK,,OSPAR RSC seawater,376,Rijkswaterstaat Centre for Water Management,51.7194444444444,3.49388888888889,2003-02-12 00:00:00.000,,2003,,1.0,SCHOUWN10,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,53,226Ra,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,4.0,0.4,1,Bq/m3,,,,,,,Updated: 2019-03-26T10:11:34.583. ,1,,Updated: 2019-03-26T10:11:34.583. OSPAR ID: 29393; ,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.",2018,"1,2","3.494,51.719",0xE6100000010C075F984C15DC49404F92AE997CF30B40,3.49388888888889,51.7194444444444,487620
