sample_id,area_id,areaname,samptype_id,samptype,ref_id,displaytext,zoterourl,ref_note,datbase,lab_id,lab,latitude,longitude,begperiod,endperiod,samplingyear,totdepth,sampdepth,station,samplabcode,species_id,taxonname,taxonrank,biogroup,taxondb,taxondbid,taxondburl,taxonrepname,bodypar_id,bodypar,sliceup,slicedown,sedtype_id,sedtype,sedrepname,nuclide_id,nusymbol,volume,salinity,temperatur,filtered,filtpore,samparea,drywt,wetwt,percentwt,sampmet_id,sampmet,prepmet_id,prepmet,drymet_id,drymet,counmet_id,counmet,decayedto,detection,activity,uncertaint,unit_id,unit,vartype,freq,rangelow,rangeupp,profile,transect_id,measure_note,shapetype_id,profile_id,sampnote,ref_fulltext,ref_yearpub,ref_sampleTypes,LongLat,displaycoordinates,DisplayLong,DisplayLat,id
407195,2401,Baltic Sea,1,Seawater,100,"HELCOM MORS, 2018",https://www.zotero.org/groups/2432820/maris/items/26VMZZ2Q,,HELCOM MORS 2018 Environmental database,188,Central Laboratory for Radiological Protection,54.6502777777778,19.2841666666667,1987-07-01 00:00:00.000,,1987,88.0,0.0,P116,WCLOR1987041,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,31,134Cs,,6.72,,N,,,,,,13,Other type of sampler,5,Precipitation,0,Not available,11,Beta gas proportional counting,,=,23.0,3.0,1,Bq/m3,,,,,,,Updated: 2019-05-13T16:51:50.197. ,1,,Updated: 2019-05-13T16:51:50.190. ,"HELCOM MORS, 2018. Environmental database - Helsinki Commission Monitoring of Radioactive Substances.",2018,"1,2,3","19.284,54.65",0xE6100000010C5E4BC8073D534B40F085C954C1483340,19.2841666666667,54.6502777777778,665447
406579,2401,Baltic Sea,1,Seawater,100,"HELCOM MORS, 2018",https://www.zotero.org/groups/2432820/maris/items/26VMZZ2Q,,HELCOM MORS 2018 Environmental database,110,Federal Maritime and Hydrographic Agency,54.5502777777778,10.2002777777778,2012-06-09 00:00:00.000,,2012,17.0,16.0,STOLGR,WDHIG2012033,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,17.07,,Y,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,19.8,0.396,1,Bq/m3,,,,,,,Updated: 2019-05-13T16:51:33.830. ,1,,Updated: 2019-05-13T16:51:33.823. ,"HELCOM MORS, 2018. Environmental database - Helsinki Commission Monitoring of Radioactive Substances.",2018,"1,2,3","10.2,54.55",0xE6100000010C917EFB3A70464B4011C7BAB88D662440,10.2002777777778,54.5502777777778,662932
410379,2374,Kattegat,1,Seawater,100,"HELCOM MORS, 2018",https://www.zotero.org/groups/2432820/maris/items/26VMZZ2Q,,HELCOM MORS 2018 Environmental database,329,Risø National Laboratory - The Radiation Research Department,55.8,12.7333333333333,2016-12-01 00:00:00.000,,2016,20.0,18.0,The Sound-N A,WRISO2016034,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,26.3,,N,,,,,,14,Pumping,5,Precipitation,0,Not available,20,Gamma semiconductor spectrometry,,=,7.9,0.79,1,Bq/m3,,,,,,,Updated: 2019-05-13T16:53:13.130. ,1,,Updated: 2019-05-13T16:53:13.123. ,"HELCOM MORS, 2018. Environmental database - Helsinki Commission Monitoring of Radioactive Substances.",2018,"1,2,3","12.733,55.8",0xE6100000010C6666666666E64B404850FC1873772940,12.7333333333333,55.8,550706
411151,2374,Kattegat,1,Seawater,100,"HELCOM MORS, 2018",https://www.zotero.org/groups/2432820/maris/items/26VMZZ2Q,,HELCOM MORS 2018 Environmental database,329,Risø National Laboratory - The Radiation Research Department,56.6666666666667,12.1166666666667,2005-06-15 00:00:00.000,,2005,42.0,40.0,Kattegat-413,WRISO2005047,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,34.3,,N,,,,,,14,Pumping,5,Precipitation,0,Not available,20,Gamma semiconductor spectrometry,,=,4.05,0.405,1,Bq/m3,,,,,,,Updated: 2019-05-13T16:53:33.077. ,1,,Updated: 2019-05-13T16:53:33.067. ,"HELCOM MORS, 2018. Environmental database - Helsinki Commission Monitoring of Radioactive Substances.",2018,"1,2,3","12.117,56.667",0xE6100000010C211FF46C56554C40EBE2361AC03B2840,12.1166666666667,56.6666666666667,549152
