sample_id,area_id,areaname,samptype_id,samptype,ref_id,displaytext,zoterourl,ref_note,datbase,lab_id,lab,latitude,longitude,begperiod,endperiod,samplingyear,totdepth,sampdepth,station,samplabcode,species_id,taxonname,taxonrank,biogroup,taxondb,taxondbid,taxondburl,taxonrepname,bodypar_id,bodypar,sliceup,slicedown,sedtype_id,sedtype,sedrepname,nuclide_id,nusymbol,volume,salinity,temperatur,filtered,filtpore,samparea,drywt,wetwt,percentwt,sampmet_id,sampmet,prepmet_id,prepmet,drymet_id,drymet,counmet_id,counmet,decayedto,detection,activity,uncertaint,unit_id,unit,vartype,freq,rangelow,rangeupp,profile,transect_id,measure_note,shapetype_id,profile_id,sampnote,ref_fulltext,ref_yearpub,ref_sampleTypes,LongLat,displaycoordinates,DisplayLong,DisplayLat,id
55699,4307,Japan Sea,1,Seawater,99,"Aoyama and Hirose, 2004",https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5,,HAM 2008,0,Laboratory of Ion Beam Physics,41.45,137.433333333333,1997-09-12 00:00:00.000,,1997,3619.0,782.0,,1061,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,34.071,0.32,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,1.95,0.09,1,Bq/m3,,,,,0.0,,,1,,Author: M.S.A. Unknown latitude and longitude seconds values set to zero.,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURNAL 4, 200–215. https://doi.org/10.1100/tsw.2004.15",2004,1,"137.433,41.45",0xE6100000010C9A99999999B9444060E5D022DB2D6140,137.433333333333,41.45,750892
59433,1908,North Pacific Ocean,1,Seawater,99,"Aoyama and Hirose, 2004",https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5,,HAM 2008,0,Laboratory of Ion Beam Physics,41.2666666666667,141.583333333333,2005-10-06 00:00:00.000,,2005,597.0,580.0,14,5064,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,77,"239,240Pu",,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,18.0,2.1,1,Bq/m3,,,,,0.0,,,1,,Author: marine ecology research institute. Unknown latitude and longitude seconds values set to zero.,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURNAL 4, 200–215. https://doi.org/10.1100/tsw.2004.15",2004,1,"141.583,41.267",0xE6100000010CEEEBC03923A244402DB29DEFA7B26140,141.583333333333,41.2666666666667,415863
69460,1908,North Pacific Ocean,1,Seawater,99,"Aoyama and Hirose, 2004",https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5,,HAM 2008,0,Laboratory of Ion Beam Physics,42.5,145.833333333333,2003-09-23 00:00:00.000,,2003,,0.0,13,15403,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,12,90Sr,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,0.6,0.3,1,Bq/m3,,,,,0.0,,,1,,Author: M.S.A. Unknown latitude and longitude seconds values set to zero.,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURNAL 4, 200–215. https://doi.org/10.1100/tsw.2004.15",2004,1,"145.833,42.5",0xE6100000010C00000000004045402DB29DEFA73A6240,145.833333333333,42.5,146944
58262,1908,North Pacific Ocean,1,Seawater,99,"Aoyama and Hirose, 2004",https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5,,HAM 2008,0,Laboratory of Ion Beam Physics,34.9666666666667,151.85,1973-10-20 00:00:00.000,,1973,6140.0,5113.0,GX-223,3747,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,77,"239,240Pu",,34.689,1.08,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,0.01469169605,0.002562505125,1,Bq/m3,,,,,0.0,,,1,,"Author: H.D. Livingston, et.al. Unknown latitude and longitude seconds values set to zero.","Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURNAL 4, 200–215. https://doi.org/10.1100/tsw.2004.15",2004,1,"151.85,34.967",0xE6100000010C88855AD3BC7B41403333333333FB6240,151.85,34.9666666666667,389166
56600,1908,North Pacific Ocean,1,Seawater,99,"Aoyama and Hirose, 2004",https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5,,HAM 2008,0,Laboratory of Ion Beam Physics,5.66666666666667,-127.333333333333,1966-03-06 00:00:00.000,,1966,,1500.0,Equatorial Pacific Ocean,2063,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,0.333334,0.333334,1,Bq/m3,,,,,0.0,,,1,,Author: W.S.Brocker Cruise: CO-10-56. Unknown latitude and longitude seconds values set to zero.,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURNAL 4, 200–215. https://doi.org/10.1100/tsw.2004.15",2004,1,"-127.333,5.667",0xE6100000010CB4E55C8AABAA16405A643BDF4FD55FC0,-127.333333333333,5.66666666666667,359088
69596,1910,South Pacific Ocean,1,Seawater,99,"Aoyama and Hirose, 2004",https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5,,HAM 2008,0,Laboratory of Ion Beam Physics,-0.0333333333333333,149.933333333333,1992-04-01 00:00:00.000,,1992,5137.0,0.0,SA-5,15539,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,72,241Am,,34.207,29.06,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,0.329,0.042,1,Bq/m3,,,,,0.0,,,1,,Author: T. Nakanishi. Unknown latitude and longitude seconds values set to zero.,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURNAL 4, 200–215. https://doi.org/10.1100/tsw.2004.15",2004,1,"149.933,-0.033",0xE6100000010C9F4ABCF20F11A1BF60E5D022DBBD6240,149.933333333333,-0.0333333333333333,436570
64445,1908,North Pacific Ocean,1,Seawater,99,"Aoyama and Hirose, 2004",https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5,,HAM 2008,0,Laboratory of Ion Beam Physics,55.0,-155.0,1966-01-23 00:00:00.000,,1966,,0.0,,10288,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,22.2,0.37,1,Bq/m3,,,,,0.0,,,1,,Author: T.F.Folsom et al. Cruise: 20. Unknown latitude and longitude seconds values set to zero.,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURNAL 4, 200–215. https://doi.org/10.1100/tsw.2004.15",2004,1,"-155,55",0xE6100000010C0000000000804B4000000000006063C0,-155.0,55.0,407534
