sample_id,area_id,areaname,samptype_id,samptype,ref_id,displaytext,zoterourl,ref_note,datbase,lab_id,lab,latitude,longitude,begperiod,endperiod,samplingyear,totdepth,sampdepth,station,samplabcode,species_id,taxonname,taxonrank,biogroup,taxondb,taxondbid,taxondburl,taxonrepname,bodypar_id,bodypar,sliceup,slicedown,sedtype_id,sedtype,sedrepname,nuclide_id,nusymbol,volume,salinity,temperatur,filtered,filtpore,samparea,drywt,wetwt,percentwt,sampmet_id,sampmet,prepmet_id,prepmet,drymet_id,drymet,counmet_id,counmet,decayedto,detection,activity,uncertaint,unit_id,unit,vartype,freq,rangelow,rangeupp,profile,transect_id,measure_note,shapetype_id,profile_id,sampnote,ref_fulltext,ref_yearpub,ref_sampleTypes,LongLat,displaycoordinates,DisplayLong,DisplayLat,id
13442,2357,Irish Sea and St. George's Channel,1,Seawater,84,"MAFF (now Cefas), 2004",https://www.zotero.org/groups/2432820/maris/items/KQRUCSFG,,,257,MAFF (Staplake Mount),54.4008333333333,-3.56916666666667,1984-11-11 00:00:00.000,,1984,23.0,20.0,13055 (Site 39 Clione),4929,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,83,137Cs/134Cs,,32.552,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,16.1,0.23,0,NOT AVAILABLE,,,,,0.0,,,1,,,"MAFF (now Cefas), 2004. Ministry of Agriculture Fisheries & Food, UK (now Cefas - Centre for Environment, Fisheries and Aquaculture Science).",2004,1,"-3.569,54.401",0xE6100000010C4F1E166A4D334B4021EA3E00A98D0CC0,-3.56916666666667,54.4008333333333,531291
7542,2350,North Sea,1,Seawater,84,"MAFF (now Cefas), 2004",https://www.zotero.org/groups/2432820/maris/items/KQRUCSFG,,,257,MAFF (Staplake Mount),51.9,3.16666666666667,1975-08-04 00:00:00.000,,1975,,3.0,Station 16 Felixstowe-Europort (Site 37 File C),10390,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,31.73,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,63.64,,1,Bq/m3,,,,,0.0,,,1,,,"MAFF (now Cefas), 2004. Ministry of Agriculture Fisheries & Food, UK (now Cefas - Centre for Environment, Fisheries and Aquaculture Science).",2004,1,"3.167,51.9",0xE6100000010C3333333333F3494068CBB91457550940,3.16666666666667,51.9,509830
5691,2357,Irish Sea and St. George's Channel,1,Seawater,84,"MAFF (now Cefas), 2004",https://www.zotero.org/groups/2432820/maris/items/KQRUCSFG,,,257,MAFF (Staplake Mount),54.2366666666667,-5.10833333333333,1973-07-18 00:00:00.000,,1973,118.0,3.0,11077 (Site 40 Corella/Dawn Sky),10217,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,34.208,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,505.05,,1,Bq/m3,,,,,0.0,,,1,,,"MAFF (now Cefas), 2004. Ministry of Agriculture Fisheries & Food, UK (now Cefas - Centre for Environment, Fisheries and Aquaculture Science).",2004,1,"-5.108,54.237",0xE6100000010C4A7B832F4C1E4B40E5B33C0FEE6E14C0,-5.10833333333333,54.2366666666667,541603
13886,2357,Irish Sea and St. George's Channel,1,Seawater,84,"MAFF (now Cefas), 2004",https://www.zotero.org/groups/2432820/maris/items/KQRUCSFG,,,257,MAFF (Staplake Mount),54.8727777777778,-3.59444444444444,1986-06-17 00:00:00.000,,1986,,0.0,Station 54 Southerness (Site 1 Sellafield),1535,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,83,137Cs/134Cs,,27.825,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,11.8,1.0,0,NOT AVAILABLE,,,,,0.0,,,1,,,"MAFF (now Cefas), 2004. Ministry of Agriculture Fisheries & Food, UK (now Cefas - Centre for Environment, Fisheries and Aquaculture Science).",2004,1,"-3.594,54.833",0xE6100000010CED0DBE30996A4B4053793BC269C10CC0,-3.594444444,54.83277778,533987
6856,2357,Irish Sea and St. George's Channel,1,Seawater,84,"MAFF (now Cefas), 2004",https://www.zotero.org/groups/2432820/maris/items/KQRUCSFG,,,257,MAFF (Staplake Mount),54.3719444444444,-3.47166666666667,1977-04-05 00:00:00.000,,1977,,0.0,Station 24 Drigg Barn Scar (Site 1 Sellafield),3062,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,31,134Cs,,31.685,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,5125.57,25.63,1,Bq/m3,,,,,0.0,,,1,,,"MAFF (now Cefas), 2004. Ministry of Agriculture Fisheries & Food, UK (now Cefas - Centre for Environment, Fisheries and Aquaculture Science).",2004,1,"-3.472,54.372",0xE6100000010CF2B0506B9A2F4B40D908C4EBFAC50BC0,-3.47166666666667,54.3719444444444,532052
