sample_id,area_id,areaname,samptype_id,samptype,ref_id,displaytext,zoterourl,ref_note,datbase,lab_id,lab,latitude,longitude,begperiod,endperiod,samplingyear,totdepth,sampdepth,station,samplabcode,species_id,taxonname,taxonrank,biogroup,taxondb,taxondbid,taxondburl,taxonrepname,bodypar_id,bodypar,sliceup,slicedown,sedtype_id,sedtype,sedrepname,nuclide_id,nusymbol,volume,salinity,temperatur,filtered,filtpore,samparea,drywt,wetwt,percentwt,sampmet_id,sampmet,prepmet_id,prepmet,drymet_id,drymet,counmet_id,counmet,decayedto,detection,activity,uncertaint,unit_id,unit,vartype,freq,rangelow,rangeupp,profile,transect_id,measure_note,shapetype_id,profile_id,sampnote,ref_fulltext,ref_yearpub,ref_sampleTypes,LongLat,displaycoordinates,DisplayLong,DisplayLat,id
593756,1912,North Atlantic Ocean,1,Seawater,402,"CCHDO, 2018",https://www.zotero.org/groups/2432820/maris/items/GSALIT9M,"Data downloaded from: Oms (2018), Tritium in ocean",,0,Laboratory of Ion Beam Physics,30.9997222222222,-21.1180555555556,1992-10-03 08:50:00.000,,1992,,8.6,6,"CAMPAIGN ID: 74AB73_1, WOCE ID: AR11",0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,1.896,,7,TU,,,,,0.0,,,1,402.1261,SOURCE FILE NAME: ar11_g_00006_00001_hy1.nc.,"CCHDO, 2018. CCHDO (CLIVAR and Carbon Hydrographic Data Office) database.",2018,1,"-21.118,31",0xE6100000010CABCFD556ECFF3E4058A835CD3B1E35C0,-21.1180555555556,30.9997222222222,466476
593733,1912,North Atlantic Ocean,1,Seawater,402,"CCHDO, 2018",https://www.zotero.org/groups/2432820/maris/items/GSALIT9M,"Data downloaded from: Oms (2018), Tritium in ocean",,0,Laboratory of Ion Beam Physics,30.9866666666667,-26.8483333333333,1981-05-29 00:00:00.000,,1981,4875.0,1517.0,55,"CAMPAIGN ID: 316N19810516, WOCE ID: ANAS3",0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,0.65,0.05,7,TU,,,,,0.0,,,1,402.1257,SOURCE FILE NAME: anas2_19810516_00055_00001_hy1.nc.,"CCHDO, 2018. CCHDO (CLIVAR and Carbon Hydrographic Data Office) database.",2018,1,"-26.848,30.987",0xE6100000010C94F6065F98FC3E40613255302AD93AC0,-26.8483333333333,30.9866666666667,473675
612146,4274,Andaman or Burma Sea,1,Seawater,402,"CCHDO, 2018",https://www.zotero.org/groups/2432820/maris/items/GSALIT9M,"Data downloaded from: Oms (2018), Tritium in ocean",,0,Laboratory of Ion Beam Physics,9.96666666666667,94.2,1995-10-11 13:28:00.000,,1995,3180.0,449.7,1005,"CAMPAIGN ID: 316N145_12, WOCE ID: I01E",0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,0.093,0.002,7,TU,,,,,0.0,,,1,402.3378,SOURCE FILE NAME: 316N145_12_01005_00001_hy1.nc.,"CCHDO, 2018. CCHDO (CLIVAR and Carbon Hydrographic Data Office) database.",2018,1,"94.2,9.967",0xE6100000010C740CC85EEFEE2340CDCCCCCCCC8C5740,94.2,9.96666666666667,724290
605893,1912,North Atlantic Ocean,1,Seawater,402,"CCHDO, 2018",https://www.zotero.org/groups/2432820/maris/items/GSALIT9M,"Data downloaded from: Oms (2018), Tritium in ocean",,0,Laboratory of Ion Beam Physics,58.5083333333333,-30.2733333333333,1994-11-30 13:59:00.000,,1994,1622.0,19.1,522,"CAMPAIGN ID: 06MT30_3, WOCE ID: A01E",0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,1.728,0.036,7,TU,,,,,0.0,,,1,402.2482,SOURCE FILE NAME: a01ew_00522_00001_hy1.nc.,"CCHDO, 2018. CCHDO (CLIVAR and Carbon Hydrographic Data Office) database.",2018,1,"-30.273,58.508",0xE6100000010C454772F90F414D402EFF21FDF6453EC0,-30.2733333333333,58.5083333333333,474837
603051,1914,South Atlantic Ocean,1,Seawater,402,"CCHDO, 2018",https://www.zotero.org/groups/2432820/maris/items/GSALIT9M,"Data downloaded from: Oms (2018), Tritium in ocean",,0,Laboratory of Ion Beam Physics,-51.7019444444445,-35.2502777777778,1995-04-14 11:07:00.000,,1995,4724.0,3002.9,63,"CAMPAIGN ID: 74JC10_1, WOCE ID: A23",0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,0.022,0.002,7,TU,,,,,0.0,,,1,402.219,SOURCE FILE NAME: a23_00063_00001_hy1.nc.,"CCHDO, 2018. CCHDO (CLIVAR and Carbon Hydrographic Data Office) database.",2018,1,"-35.25,-51.702",0xE6100000010CFD87F4DBD7D949C02B1895D409A041C0,-35.2502777777778,-51.7019444444445,479428
608460,1912,North Atlantic Ocean,1,Seawater,402,"CCHDO, 2018",https://www.zotero.org/groups/2432820/maris/items/GSALIT9M,"Data downloaded from: Oms (2018), Tritium in ocean",,0,Laboratory of Ion Beam Physics,6.835,-27.2533333333333,1988-08-20 16:53:00.000,,1988,4219.0,39.1,105,"CAMPAIGN ID: 32OC19880723, WOCE ID: A16N",0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,1.105,0.034,7,TU,,,,,0.0,,,1,402.2812,SOURCE FILE NAME: 32OC19880723_00105_00001_hy1.nc.,"CCHDO, 2018. CCHDO (CLIVAR and Carbon Hydrographic Data Office) database.",2018,1,"-27.253,6.835",0xE6100000010CD7A3703D0A571B40A913D044D8403BC0,-27.2533333333333,6.835,456591
601800,1908,North Pacific Ocean,1,Seawater,402,"CCHDO, 2018",https://www.zotero.org/groups/2432820/maris/items/GSALIT9M,"Data downloaded from: Oms (2018), Tritium in ocean",,0,Laboratory of Ion Beam Physics,47.0016666666667,-162.621666666667,1985-08-27 22:45:00.000,,1985,5171.0,460.5,77,"CAMPAIGN ID: 31TTTPS47, WOCE ID: P01",0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,1.104,0.069,7,TU,,,,,0.0,,,1,402.2078,SOURCE FILE NAME: p01_00077_00002_hy1.nc.,"CCHDO, 2018. CCHDO (CLIVAR and Carbon Hydrographic Data Office) database.",2018,1,"-162.622,47.002",0xE6100000010C9C33A2B43780474096438B6CE75364C0,-162.621666666667,47.0016666666667,116775
